,Instrument_1,Instrument_2,Instrument_3,Instrument_4,Instrument_5,Instrument_6,Instrument_7,Instrument_8,Instrument_9,Instrument_10
2023-01-02,1.0051805142288628,0.9988180560349333,1.0066992254732703,1.015549960300854,0.9978607577001327,0.9978609215266718,1.0161206866301409,1.0079054314998803,0.9955153423844784,1.0056414538403562
2023-01-03,0.9955756395197416,0.9955526214721628,1.0026230569253698,0.9812452973107297,0.9830953364639876,0.9945918019528667,0.9901208117745129,1.003348065618881,0.9911590721273712,0.9861734401955451
2023-01-04,1.0149673938471329,0.9979443527379455,1.0008756652179962,0.9860507236267883,0.9947698976160901,1.001310083307464,0.9887537811118621,1.0039648193659623,0.994210437586316,0.997286750036395
2023-01-05,0.9941998202479313,1.0188991521196475,1.0000650298669709,0.9896765471490809,1.0084610431123715,0.988063377030374,1.0022912568763709,0.9807902043691303,0.9870033351375302,1.0021709654991815
2023-01-06,1.0076135022364106,1.0019155150714534,0.9990439744600075,0.9971929103089887,0.9855206291805547,0.9930259899831607,0.9956033061731637,1.0108294407169132,1.003642801828829,0.9827206291140114
2023-01-09,1.003446766178259,0.9963558333468042,0.9934523101514264,1.0063367557095708,1.010565419223248,1.0095581917005398,0.9918412891908014,0.9971120544025149,1.0035188108437938,1.0100051716354765
2023-01-10,0.9954187835536299,0.9983447816208093,0.9891954433544865,0.9883068364497346,1.0083600095571876,1.0138575380568846,0.9994800340133887,1.0102878891289921,1.0038236518260661,0.9937683005393779
2023-01-11,1.003821238440769,1.015702372374623,0.9998417521314156,1.0159726571682144,0.9743375731522101,1.008454564701506,1.0010710438406207,0.997213815133053,1.0011182325216361,0.9805166139285869
2023-01-12,0.9980052732386447,1.0037782453565716,1.0150916870138573,0.9950296908855842,0.9921460685359711,0.995194015443876,1.0093979067619443,1.003493599539201,0.9949153686863744,1.005346918347205
2023-01-13,1.0011714611186535,1.00993548230343,0.9932026760909737,0.9969281064838978,0.9962858331132488,0.9856685377756885,1.003166204641378,1.0028145060278908,1.0002511661033497,0.9978564294021504
2023-01-16,0.9861431943184417,0.9960015618984304,0.9967780564707086,0.9922077455631056,0.9985881404960726,1.0042495122468307,1.0192446961373558,1.0019476723829812,1.0027793591841507,0.9994556890333296
2023-01-17,0.9811914188987733,0.9999348633669904,1.0008026240298291,1.0251433137658537,0.9982778749142401,1.0032206486034023,0.9998528931242253,0.9885789408032308,1.011696098806775,1.0077492011687121
2023-01-18,1.0081432972044184,0.9911455589621322,1.0143296420417176,0.9862765267281933,1.0060870220196338,1.0223506720431932,0.9903415817909648,0.9945519176285523,1.0011972297589173,0.9951769120816866
2023-01-19,0.9848099167901833,1.0008860220338838,0.9896310944791289,1.004948126048095,0.9910460848605407,1.015823226192406,0.9923965208909946,0.9969839423059813,1.0083700064372112,0.9879643714555114
2023-01-20,1.0024776636941597,1.0133598838178615,0.9842505086730097,1.0020484337650313,1.0028027483180424,1.008050460804145,0.9879042418767774,0.9870796278752644,1.005434127253276,1.0031748760090933
2023-01-23,1.0027085901232922,1.0036712045183738,0.9934214865734543,1.0025257212449161,1.0031356305699362,0.9930805363171379,1.0190366753573912,1.0049505428535292,0.9883552955758664,1.0067884740255801
2023-01-24,0.9904986094788923,1.0081035031129255,1.0118556838349728,0.9920251460443432,1.0098822716055749,1.0043371877604603,1.0084561545880482,1.0193528139863557,0.9977486569229091,0.992689491078188
2023-01-25,0.991342549141834,0.9920734790180485,0.9994291459050932,1.0036180491435926,1.0029713136207736,1.0085078200182143,1.0003300733810134,1.0148444411236828,0.9975564220766792,1.0277805707448484
