Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
00001,Course_1,Office Tools,21,4217,50.64682700093039,Coursera,38.79742459354726,4.811251609761661
00002,Course_2,Office Tools,57,4238,82.24023980407608,edX,160.6509909078542,3.829329393519929
00003,Course_3,Technology,52,2700,55.72902846441631,LinkedIn Learning,123.5037809574659,4.851950080367606
00004,Course_4,Office Tools,69,4308,58.664729433480446,LinkedIn Learning,116.77570388204673,3.9137318442466693
00005,Course_5,Technology,43,4792,62.598147478553216,Udemy,96.24669562956642,4.921968098570236
00006,Course_6,Finance,66,3792,96.67190043026235,edX,127.50992015811921,3.2522834617959484
00007,Course_7,Marketing,29,2607,71.83044120821306,Coursera,155.54111676492943,4.101806831865636
00008,Course_8,Design,21,964,99.07627239878464,edX,79.94094433268505,3.0887304873261465
00009,Course_9,Programming,57,1246,78.81762243572985,LinkedIn Learning,174.67747992086845,4.498471275642796
00010,Course_10,Design,59,489,58.89606775722345,edX,82.0948190093404,3.341867502083236
00011,Course_11,Finance,80,3118,92.79344906357994,edX,194.04973359495344,3.716273441716622
00012,Course_12,Data Science,88,1590,60.89317065137861,LinkedIn Learning,62.062786462699854,4.60411791834412
00013,Course_13,Programming,23,3681,85.88238253372987,Coursera,187.51100477424194,3.5810959574040435
00014,Course_14,Programming,61,3096,91.32513029519066,edX,50.72613533740817,4.213903901189946
00015,Course_15,Business,42,3272,81.31929238657432,LinkedIn Learning,194.84242119615118,3.707730696797374
00016,Course_16,Office Tools,40,1172,56.726895297941525,Coursera,24.666025463435375,3.0516662606389415
00017,Course_17,Programming,35,237,58.2347895101027,Udemy,60.79261168492662,3.1594239112548475
00018,Course_18,Technology,67,4418,96.34017220956999,LinkedIn Learning,147.75797734812406,3.5286665481097907
00019,Course_19,Finance,21,1548,90.76913264707403,edX,45.057920745871485,3.801424621165619
00020,Course_20,Marketing,17,2884,64.63250119591335,LinkedIn Learning,18.860433942063498,4.442078565026383
00021,Course_21,Office Tools,48,1025,93.51465764557429,LinkedIn Learning,19.11184521313023,4.270262092491025
00022,Course_22,Data Science,62,2673,92.43578375976712,Udemy,140.88630874986984,3.928142296785201
00023,Course_23,Office Tools,30,1258,92.67762193505843,Coursera,135.300874124823,4.579387883714226
00024,Course_24,Office Tools,64,2598,51.29366135853743,Udemy,66.15181048252111,3.5316851549855253
00025,Course_25,AI,30,1076,84.11985220897876,Coursera,135.8662127587786,3.029927217991226
00026,Course_26,Finance,77,2996,62.59945850894012,Udemy,178.47268117131878,3.261758426965299
00027,Course_27,Office Tools,15,2940,78.79583917707089,Coursera,120.63976857208823,4.145450071890542
00028,Course_28,Data Science,12,3613,53.06259535713104,Coursera,90.5638989973893,4.517857391618628
00029,Course_29,Marketing,95,4489,56.861775797295536,edX,159.10918969364343,3.5708770248334587
00030,Course_30,Design,60,2855,64.69834538693968,Udemy,115.26479652101077,4.676358859613266
00031,Course_31,Marketing,47,2913,91.75641337475977,edX,113.62108734523763,3.564890433090773
00032,Course_32,Design,26,4502,79.64014242730602,LinkedIn Learning,144.84705940587207,4.0321435304712185
00033,Course_33,Technology,52,2241,63.33669579481848,LinkedIn Learning,62.53261867058303,4.623942405683767
00034,Course_34,Business,14,974,61.32588690321183,edX,66.79180201167603,4.745948103203238
00035,Course_35,Programming,15,1025,74.97968136286926,LinkedIn Learning,171.67945927377968,3.8723091146931954
00036,Course_36,Office Tools,66,3603,86.38853847399912,Coursera,161.3441399074511,3.2532146256081056
00037,Course_37,Programming,16,2179,78.08386216011831,edX,158.73985576616525,3.6704431285011077
00038,Course_38,Finance,41,178,80.50992601990427,Udemy,153.0854345943396,4.798317057006072
00039,Course_39,AI,38,3989,66.40207521759572,Udemy,26.08560803800657,4.991139495183237
00040,Course_40,Design,19,2883,55.63165319236443,Udemy,119.05294676970507,3.1217476710043317
00041,Course_41,Marketing,88,2840,78.83769934992179,Udemy,36.012941335039336,3.2747030928492475
00042,Course_42,Technology,74,3265,52.99990117615693,Udemy,41.3289332748605,4.7543495055945755
