latitude,longitude,value
40.488135039273246,-113.2218346320377,71
42.151893663724195,-117.29992026807835,72
41.02763376071644,-112.64805977877405,19
40.44883182996897,-110.37811454882562,93
39.236547993389046,-117.51246856480041,44
41.45894113066656,-114.23842665582163,84
39.37587211262692,-114.0795806872816,50
43.91773000782079,-114.27748094209127,42
44.63662760501029,-117.76918367359382,94
38.83441518825778,-110.47250988483015,47
42.917250380826644,-115.52874621382372,22
40.28894919752904,-111.53591327528872,74
40.68044561093932,-113.00520724682495,90
44.25596638292661,-117.02563049144867,97
35.71036058197887,-111.86202180297522,92
35.87129299701541,-116.03494259153015,74
35.202183974403255,-111.18896802888838,29
43.32619845547938,-114.18727127364141,82
42.7815675094985,-111.18264638145148,59
43.70012148246819,-113.07468409922234,1
44.78618342232764,-112.7474572018036,87
42.99158564216724,-114.98675618073298,64
39.61479362252932,-110.43916365276776,17
42.805291762864556,-113.56009800770363,37
36.18274425868933,-115.7614495144182,95
41.39921021327524,-113.93606785872076,25
36.43353287409047,-119.80806801690666,64
44.44668917049584,-116.9842518332545,68
40.21848321750072,-113.39826462507315,52
39.146619399905234,-117.09922392789557,9
37.64555612104627,-113.81984571001158,57
42.742336894342166,-115.71231299054234,92
39.561503322165485,-118.6452593577755,94
40.68433948868648,-117.0171767404397,88
35.187898004363554,-114.30035089298735,33
41.17635497075877,-114.09127238751827,20
41.12095722722422,-114.25674751150422,73
41.16933996874757,-113.46799180142867,72
44.43748078514624,-113.47896729998311,88
41.81820299103484,-115.68581564566026,14
38.59507900573786,-111.03453404148937,59
39.37031953799342,-116.32438129952104,82
41.97631195927265,-115.64135074734374,56
35.6022547162927,-111.08076644984328,65
41.66766715445668,-111.93806010953914,76
41.706378696181595,-112.96111416459634,93
37.10382561073841,-118.99773112687699,37
36.289262976548535,-110.80517386255326,26
38.154283509241836,-112.85758700450889,33
38.637107709426225,-110.01152993432133,43
40.7019677041788,-118.50551695342006,15
39.38601513462321,-111.31873942631786,87
44.88373838059226,-118.37507065323625,29
36.02044810748028,-113.84440435716155,21
37.08876756094835,-118.76180017150558,83
36.61309517884996,-111.51991770677766,69
41.531083254653986,-111.92681041274989,23
37.532916025397824,-114.30899261385407,84
39.66310772856306,-115.92816702774,8
37.444255920016026,-119.30833004544861,73
36.5896958364552,-113.02571226855436,62
36.10375141164305,-115.4645731732193,14
41.56329589465273,-112.77944400529653,6
36.38182951348614,-111.33617674071371,1
36.965823616800535,-110.24478494997115,9
38.68725170660964,-111.4419665760739,80
43.20993229847935,-119.88285915814998,80
35.971012757930616,-116.40021935521636,54
43.37944907498804,-112.70009437575942,12
35.96098407893963,-118.2837032273856,5
44.76459465013396,-114.78963393795871,40
39.68651201647702,-119.45662011660747,93
44.76761088190337,-118.000034751036,46
41.04845519745046,-119.81478205539386,27
42.39263579398302,-112.06302296642579,75
35.39187792254321,-117.7607531193962,53
37.828069625764094,-116.54648319303098,50
36.20196561213169,-110.71918706534409,92
37.96140197522145,-112.95585598076467,52
36.18727718954244,-119.68161070468692,19
38.17983179393976,-118.35305843502087,35
39.1426299451467,-113.78521598500237,52
35.641474963487845,-114.22771411395833,31
41.9247211937002,-117.62107178625492,54
40.66601454206575,-110.65786002075207,59
37.65389490939445,-113.86034044034103,44
40.232480534667,-114.64367196975041,56
35.93940510758442,-114.1009002364543,19
40.759464955561796,-112.6987797048323,46
44.29296197576214,-116.88055004520398,88
38.185689524513236,-116.01778937783908,66
41.67410379963682,-117.90156251024878,71
36.317978624043924,-118.13806994119663,54
42.16327204118566,-110.55627610016066,49
37.89406092947201,-112.60449204950713,95
36.83191362007117,-115.09541191382434,60
40.86512934810083,-117.72585372026677,81
35.201075461874936,-117.45643518229608,27
43.28940029217363,-119.41970839676124,36
35.04695476192547,-115.6558337444188,59
